"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.030372500E0,-2.370190792E-2,6.804989576E-1,1.762430905E0
2.040353500E0,2.874260250E-1,8.956624603E-1,1.492424612E0
2.050334500E0,4.343497436E-1,1.089661381E0,1.546255834E0
2.060314500E0,6.610191049E-1,1.458011994E0,1.680433645E0
2.070295500E0,6.328496318E-1,1.670881634E0,1.502732084E0
2.080276500E0,1.375101399E-1,1.704145274E0,1.281872224E0
2.090256500E0,-4.363509531E-1,1.690951617E0,1.309793263E0
2.100237500E0,-9.770421074E-1,1.599094198E0,1.677332867E0
2.110218500E0,-1.590255547E0,1.218933964E0,2.270373266E0
2.120198500E0,-1.927323994E0,7.338086075E-1,3.042882839E0
2.130179500E0,-1.956974055E0,2.142302871E-1,3.917169634E0
2.140160500E0,-1.758668367E0,-1.375113094E-1,4.800547678E0
2.150140500E0,-1.505707732E0,-3.745866680E-1,5.468665157E0
2.160121500E0,-1.328604487E0,-6.397561437E-1,5.629560651E0
2.170102500E0,-1.149551488E0,-8.583180481E-1,5.191542218E0
2.180082500E0,-9.755932405E-1,-9.344499654E-1,4.223426909E0
2.190063500E0,-9.770903470E-1,-9.027603954E-1,2.944427422E0
2.200044500E0,-1.110635929E0,-9.236168289E-1,1.636297107E0
2.210024500E0,-1.242219038E0,-9.929414177E-1,3.932854789E-1
2.220005500E0,-1.307288316E0,-1.014463264E0,-6.092003489E-1
2.229986500E0,-1.336148857E0,-9.404041851E-1,-1.399515279E0
2.239966500E0,-1.323353249E0,-8.827599943E-1,-2.050665892E0
2.249947500E0,-1.200595561E0,-8.273605496E-1,-2.476294659E0
2.259928500E0,-9.458632187E-1,-8.789522874E-1,-2.632362692E0
2.269908500E0,-4.979277619E-1,-8.680782205E-1,-2.546645434E0
2.279889500E0,-1.069133415E-1,-8.385690773E-1,-2.346730301E0
2.289869500E0,3.980872124E-2,-9.597578841E-1,-2.152688695E0
2.299850500E0,6.268726811E-2,-1.081102812E0,-1.975204065E0
2.309831500E0,1.365415487E-1,-1.098733336E0,-1.770208286E0
2.319811500E0,4.100253265E-1,-1.055605443E0,-1.679898625E0
2.329792500E0,7.887880028E-1,-1.048990488E0,-1.835619918E0
2.339773500E0,1.040489002E0,-1.060962662E0,-2.215885987E0
2.349753500E0,1.054489210E0,-1.026931867E0,-2.549992965E0
2.359734500E0,1.015351749E0,-1.015449105E0,-2.864069722E0
2.369715500E0,1.123098026E0,-9.046683419E-1,-3.146165133E0
2.379695500E0,1.193863223E0,-8.131746197E-1,-3.264263687E0
2.389676500E0,1.149539062E0,-7.599099934E-1,-3.069679459E0
2.399657500E0,1.160759284E0,-7.093380100E-1,-2.711196608E0
2.409637500E0,1.082122785E0,-6.745944393E-1,-2.283999617E0
2.419618500E0,9.747564308E-1,-6.658955365E-1,-1.922121872E0
2.429599500E0,7.719983809E-1,-6.725917679E-1,-1.561735752E0
2.439579500E0,4.443693496E-1,-5.855863684E-1,-1.296310169E0
2.449560500E0,3.358016846E-1,-4.161416602E-1,-1.232846244E0
2.459541500E0,5.313689749E-1,-2.731830847E-1,-1.360272861E0
2.469521500E0,7.443597619E-1,-1.020409298E-1,-1.481618373E0
2.479502500E0,6.818691064E-1,3.051194072E-2,-1.621849807E0
2.489483500E0,4.172009564E-1,1.992853886E-1,-1.642789271E0
2.499463500E0,1.521698770E-1,4.341797358E-1,-1.521346110E0
2.509444500E0,-1.736935875E-1,5.497207171E-1,-1.365186861E0
2.519425500E0,-3.453002306E-1,7.069160932E-1,-1.199532318E0
2.529405500E0,-3.779309465E-1,8.283797193E-1,-1.106496100E0
2.539386500E0,-3.446514820E-1,8.309986871E-1,-9.415981865E-1
2.549367500E0,-2.128913843E-1,8.213484424E-1,-7.700888264E-1
2.559347500E0,-1.600595617E-1,8.403635877E-1,-5.452657235E-1
2.569328500E0,-1.001613423E-1,8.956191909E-1,-3.276300180E-1
2.579309500E0,-4.381863210E-2,9.926081264E-1,-8.726793945E-2
2.589289500E0,-6.257324740E-3,1.060874369E0,1.791516709E-1
2.599270500E0,1.667920458E-1,1.190570290E0,3.213319820E-1
2.609251500E0,3.208662147E-1,1.237124652E0,4.426552749E-1
2.619231500E0,6.703784506E-1,1.474864254E0,5.923744011E-1
2.629212500E0,7.161653651E-1,1.624299790E0,9.265006757E-1
2.639193500E0,4.204782112E-1,1.851602697E0,1.426107246E0
2.649173500E0,-6.263661660E-2,1.950233531E0,2.040679432E0
2.659154500E0,-5.686360212E-1,1.742789522E0,2.811406775E0
2.669135500E0,-8.312018779E-1,1.282549331E0,3.790697283E0
2.679115500E0,-7.848024675E-1,7.179994905E-1,4.915958267E0
2.689096500E0,-3.736999743E-1,2.379901555E-1,6.108108475E0
