"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.453531204E2,6.062156074E1,2.485497085E1,9.757502437E1,3.573585554E0,5.956790118E1,2.511507917E0,3.000000000E0
1.463530942E2,6.062157360E1,2.485502898E1,9.818451733E1,3.345516829E0,6.321737968E1,2.561023129E0,3.000000000E0
1.473530704E2,6.062159866E1,2.485509053E1,9.791861613E1,3.652014777E0,5.683489526E1,2.609697234E0,3.000000000E0
1.483530343E2,6.062161367E1,2.485514587E1,9.812268561E1,3.350403618E0,5.983630615E1,2.645745955E0,3.000000000E0
1.493529967E2,6.062163744E1,2.485520144E1,9.865563559E1,3.436355221E0,5.335926857E1,2.631254289E0,3.000000000E0
1.503529599E2,6.062165288E1,2.485526125E1,9.837526806E1,3.377169879E0,5.600453173E1,2.650375243E0,3.000000000E0
1.513529260E2,6.062166612E1,2.485532818E1,9.870406860E1,3.520923636E0,6.240367535E1,2.645580120E0,3.000000000E0
1.523528949E2,6.062168327E1,2.485539283E1,9.867933634E1,3.607004769E0,6.405446291E1,2.689855171E0,3.000000000E0
1.533528644E2,6.062170280E1,2.485543836E1,9.881487667E1,3.256107296E0,5.826323813E1,2.684077461E0,3.000000000E0
1.543528360E2,6.062172061E1,2.485549530E1,9.858265116E1,3.243675873E0,5.678832722E1,2.671890847E0,3.000000000E0
1.553528086E2,6.062173478E1,2.485555542E1,9.829302375E1,3.257848017E0,6.016886572E1,2.719231070E0,3.000000000E0
1.563527839E2,6.062175195E1,2.485561446E1,9.838327417E1,3.295656522E0,5.972394395E1,2.731328870E0,3.000000000E0
1.573527602E2,6.062177038E1,2.485568202E1,9.835107751E1,3.618763492E0,5.920298051E1,2.702078457E0,3.000000000E0
1.583527375E2,6.062178701E1,2.485573170E1,9.842974116E1,3.321321285E0,5.757764945E1,2.720879574E0,3.000000000E0
1.593527157E2,6.062180246E1,2.485579103E1,9.797654579E1,3.345231851E0,5.834382460E1,2.712930754E0,3.000000000E0
1.603526967E2,6.062181271E1,2.485584842E1,9.782080107E1,3.194517604E0,6.460921184E1,2.686716030E0,3.000000000E0
1.613526766E2,6.062182805E1,2.485588894E1,9.765232833E1,2.900057048E0,5.960455713E1,2.676040706E0,3.000000000E0
1.623526586E2,6.062184735E1,2.485593805E1,9.753432550E1,2.944662951E0,5.411056726E1,2.661335796E0,3.000000000E0
1.633526416E2,6.062186155E1,2.485598979E1,9.736973873E1,2.902505295E0,5.693016562E1,2.690758991E0,3.000000000E0
1.643526256E2,6.062187027E1,2.485604661E1,9.723799544E1,2.908507755E0,6.464867504E1,2.721287907E0,3.000000000E0
